county_fips,cbsa_title,nchs_code_2023,nchs_urban_rural_6,nchs_collapsed_3,state_fips,state,state_abbrev,county_name,svi_overall,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_flags,svi_ep_poverty_150,svi_ep_uninsured,svi_ep_age65,svi_ep_minority,svi_ep_black,svi_ep_hispanic,svi_e_totpop,svi_quartile,rucc_code,rucc_description,rucc_population_2020,rucc_collapsed,metro_nonmetro,rucc_nonmetro_binary,acs_total_population,acs_pct_male,acs_pct_age_65_plus,acs_pct_non_hispanic_black,acs_pct_hispanic,acs_pct_poverty,acs_pct_uninsured,acs_pct_high_school_grad_or_higher,acs_pct_bachelors_or_higher,acs_median_household_income
01001,"Montgomery, AL",3,medium_metro,small_medium_metro,1,Alabama,AL,Autauga County,0.2663,0.2367,0.3675,0.6354,0.2358,0,20.2,7.4,15.6,27.4,19.6,3.2,58761,Q2,2,"Metro - Counties in metro areas of 250,000 to 1 million population",58805,rucc_metro_250k_1m,metro,0,59285,48.35793202327739,15.980433499198783,19.952770515307414,3.6906468752635577,10.684306413989203,7.364588545890635,90.2789020531312,28.28267961831874,69841.0
01003,"Daphne-Fairhope-Foley, AL",4,small_metro,small_medium_metro,1,Alabama,AL,Baldwin County,0.3487,0.3433,0.2883,0.489,0.4308,1,18.3,9.3,21.2,17.7,8.3,4.8,233420,Q2,3,"Metro - Counties in metro areas of fewer than 250,000 population",231767,rucc_metro_lt250k,metro,0,239945,48.89287128300236,21.390735376857197,7.939736189543437,5.581695805288712,10.514698717595673,8.169697174530215,91.73139986510688,32.79763704444496,75019.0
01005,"Eufaula, AL-GA",5,micropolitan,nonmetro,1,Alabama,AL,Barbour County,0.9927,0.9399,0.9399,0.8941,0.9959,6,37.7,10.7,19.8,55.4,46.9,4.8,24877,Q4_highest,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",25223,rucc_nonmetro_adjacent,nonmetro,1,24757,52.130710506119485,19.715635981742537,46.899866704366445,6.018499818233227,21.92147806004619,10.83698409038506,77.81370546857272,11.464715225777171,44290.0
01007,"Birmingham, AL",2,large_fringe_metro,large_metro,1,Alabama,AL,Bibb County,0.8451,0.8893,0.4954,0.6185,0.8931,3,29.0,8.4,16.8,25.8,20.7,2.9,22251,Q4_highest,1,Metro - Counties in metro areas of 1 million population or more,22293,rucc_metro_1m_plus,metro,0,22152,53.376670278078734,16.95557963163597,20.697905381003974,3.358613217768147,20.51158533648056,8.324912179394639,80.3402171866173,11.468206641139917,51215.0
01009,"Birmingham, AL",2,large_fringe_metro,large_metro,1,Alabama,AL,Blount County,0.6166,0.6866,0.7884,0.413,0.3532,0,22.9,10.2,18.3,14.3,1.2,9.7,59077,Q3,1,Metro - Counties in metro areas of 1 million population or more,59134,rucc_metro_1m_plus,metro,0,59292,50.48573163327261,18.58429467719085,1.25986642380085,10.055319436011604,14.095286797920394,10.19395196246749,82.69620160523041,15.57902954307043,61096.0
01011,,6,noncore,nonmetro,1,Alabama,AL,Bullock County,0.8985,0.8654,0.5138,0.9809,0.9491,6,47.4,12.2,16.6,79.4,68.9,8.8,10328,Q4_highest,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",10357,rucc_nonmetro_adjacent,nonmetro,1,10157,54.68150044304421,17.889140494240426,71.22181746578714,5.680811263168258,25.651127161304444,12.942332896461336,74.04445649227432,8.999728923827595,36723.0
01013,,6,noncore,nonmetro,1,Alabama,AL,Butler County,0.6872,0.8441,0.6106,0.8661,0.217,0,33.8,11.0,21.2,49.1,44.6,1.7,18981,Q3,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",19051,rucc_nonmetro_adjacent,nonmetro,1,18807,46.025416068485136,21.406922954219173,44.72270962939331,1.595150741745095,21.01586613960037,12.263845406455792,87.59495594044363,13.764813126709209,44881.0
01015,"Anniston-Oxford, AL",4,small_metro,small_medium_metro,1,Alabama,AL,Calhoun County,0.8145,0.854,0.65,0.658,0.7114,0,28.7,10.8,17.9,29.5,21.7,4.1,116162,Q4_highest,3,"Metro - Counties in metro areas of fewer than 250,000 population",116441,rucc_metro_lt250k,metro,0,116141,48.347267545483504,18.02894757234741,21.550529098251264,4.434265246553758,17.462188175211157,11.092739854254695,86.08620448446462,20.545105370928564,55826.0
01017,"LaGrange, GA-AL",5,micropolitan,nonmetro,1,Alabama,AL,Chambers County,0.8295,0.7171,0.5317,0.8396,0.9469,1,28.8,10.8,19.7,45.7,40.8,3.3,34612,Q4_highest,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",34772,rucc_nonmetro_adjacent,nonmetro,1,34450,46.67634252539913,19.982583454281567,39.72133526850508,3.686502177068215,15.480078380143697,12.23828734650608,83.62195719653651,14.585035124979578,49295.0
01019,,6,noncore,nonmetro,1,Alabama,AL,Cherokee County,0.406,0.6077,0.6494,0.2628,0.1152,1,25.6,10.2,23.2,9.3,4.0,1.9,25069,Q2,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",24971,rucc_nonmetro_adjacent,nonmetro,1,25224,49.25071360608944,23.798763082778308,3.73453853472883,1.732477006026007,14.523339643159208,9.01875901875902,83.86856260318474,15.945039143633169,50769.0
01021,"Birmingham, AL",2,large_fringe_metro,large_metro,1,Alabama,AL,Chilton County,0.5336,0.5924,0.6837,0.5425,0.2698,1,22.8,11.5,16.8,20.9,9.4,8.1,45140,Q3,1,Metro - Counties in metro areas of 1 million population or more,45014,rucc_metro_1m_plus,metro,0,45500,48.89010989010989,16.892307692307693,9.153846153846152,9.865934065934066,13.614793360810962,10.073280347140738,84.1870751618044,15.24701596903763,61873.0
01023,,6,noncore,nonmetro,1,Alabama,AL,Choctaw County,0.6548,0.6901,0.798,0.8151,0.2539,2,31.9,8.2,23.3,43.5,39.9,1.1,12669,Q3,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",12665,rucc_nonmetro_nonadjacent,nonmetro,1,12525,46.88223552894212,23.808383233532933,38.13972055888223,1.085828343313373,19.53055443140429,8.166062071745264,84.21871527006002,13.914203156256946,44483.0
01025,,6,noncore,nonmetro,1,Alabama,AL,Clarke County,0.8365,0.8412,0.7264,0.8641,0.6462,2,29.7,9.5,20.4,48.8,45.4,1.5,23058,Q4_highest,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",23087,rucc_nonmetro_nonadjacent,nonmetro,1,22802,47.31602491009561,20.62099815805631,45.34689939478993,1.1446364354004035,20.54311959332917,8.162539456719868,85.26869597895528,15.42653137918076,49167.0
01027,,6,noncore,nonmetro,1,Alabama,AL,Clay County,0.6223,0.7235,0.3688,0.5269,0.5851,0,29.1,8.1,20.8,19.9,12.6,3.1,14209,Q3,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",14236,rucc_nonmetro_nonadjacent,nonmetro,1,14188,48.17451367352693,20.51029038624189,12.968705948689031,3.178742599379757,16.5465032444124,8.41900927457042,82.75660395750073,15.235403060727164,51852.0
01029,,6,noncore,nonmetro,1,Alabama,AL,Cleburne County,0.5196,0.4938,0.6739,0.1985,0.5482,1,27.7,10.1,19.6,7.8,2.7,2.6,15144,Q3,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",15056,rucc_nonmetro_adjacent,nonmetro,1,15254,50.16389143831126,20.433984528648224,3.920283204405402,2.0060312049298545,13.154754011404323,9.251863684771031,85.39729306693674,18.211951017401717,53319.0
01031,"Enterprise, AL",5,micropolitan,nonmetro,1,Alabama,AL,Coffee County,0.6802,0.6497,0.9488,0.6806,0.2323,1,26.2,10.9,17.1,31.2,16.1,8.4,53559,Q3,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",53465,rucc_nonmetro_adjacent,nonmetro,1,54231,49.728015341778686,17.106452029282146,15.900499714185615,9.39683944607328,17.618860363649983,10.455121071414869,86.02319531758074,21.528831562974204,64672.0
01033,"Florence-Muscle Shoals, AL",4,small_metro,small_medium_metro,1,Alabama,AL,Colbert County,0.4467,0.4944,0.6984,0.5644,0.16,0,23.1,7.9,20.0,22.3,16.0,3.2,57270,Q2,3,"Metro - Counties in metro areas of fewer than 250,000 population",57227,rucc_metro_lt250k,metro,0,57648,48.19594782126006,20.122120455176244,15.790660560643907,3.278517901748543,16.876468319366037,7.409865846841811,87.5494167602128,20.271853189516325,56736.0
01035,,6,noncore,nonmetro,1,Alabama,AL,Conecuh County,0.5122,0.5272,0.5332,0.8727,0.2482,2,38.6,8.6,23.4,50.3,48.0,0.7,11576,Q3,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",11597,rucc_nonmetro_nonadjacent,nonmetro,1,11411,46.42012093593901,24.30987643501884,45.41232144422049,0.8851108579440891,27.63530244074991,8.162725026473701,87.48615725359912,13.129075919773594,42266.0
01037,"Talladega-Sylacauga, AL",5,micropolitan,nonmetro,1,Alabama,AL,Coosa County,0.4808,0.3513,0.328,0.7321,0.6427,2,22.2,6.2,24.4,35.8,30.2,2.7,10329,Q2,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",10387,rucc_nonmetro_adjacent,nonmetro,1,10323,51.23510607381575,24.779618328005427,29.690981303884527,2.3733410830185027,11.626276787502505,7.365780230807828,82.77252678008821,14.8708254568368,57063.0
01039,,6,noncore,nonmetro,1,Alabama,AL,Covington County,0.7121,0.7509,0.7821,0.4839,0.5075,0,30.1,10.3,21.7,17.5,12.3,2.0,37542,Q3,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",37570,rucc_nonmetro_adjacent,nonmetro,1,37647,48.26945042101629,21.90878423247537,11.722049565702449,1.931096767338699,18.04310251701415,10.34408544295284,86.18239540421028,17.177519936505536,50886.0
01041,,6,noncore,nonmetro,1,Alabama,AL,Crenshaw County,0.685,0.7588,0.6201,0.6656,0.4575,1,28.4,8.5,19.8,30.1,22.9,2.5,13205,Q3,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",13194,rucc_nonmetro_adjacent,nonmetro,1,13144,48.43274497869751,19.91783323189288,23.28819233110164,1.7954960438222762,16.190772582276512,9.171322160148977,82.57908611599298,16.805799648506152,49040.0
01043,"Cullman, AL",5,micropolitan,nonmetro,1,Alabama,AL,Cullman County,0.4909,0.5323,0.713,0.2587,0.3341,0,23.3,10.6,18.8,9.2,1.1,4.6,88284,Q2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",87866,rucc_nonmetro_adjacent,nonmetro,1,89463,49.49979321060103,18.93967338452768,1.069715971966064,4.857874204978595,13.90188764552956,10.68728987567409,84.9951923076923,19.08653846153846,60916.0
01045,"Ozark, AL",5,micropolitan,nonmetro,1,Alabama,AL,Dale County,0.7766,0.8648,0.9014,0.7003,0.2736,1,29.6,10.0,17.5,32.7,20.4,7.0,49455,Q4_highest,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",49326,rucc_nonmetro_adjacent,nonmetro,1,49516,49.27296227482026,17.957831811939577,20.732692463042248,6.929073430810242,18.71096728981594,10.88962953467504,85.72357531331284,19.327855284937336,53955.0
01047,"Selma, AL",5,micropolitan,nonmetro,1,Alabama,AL,Dallas County,0.9189,0.9555,0.867,0.9698,0.594,4,40.8,9.5,19.4,73.0,68.7,1.1,38326,Q4_highest,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",38462,rucc_nonmetro_adjacent,nonmetro,1,37536,46.37947570332481,19.77568201193521,70.30317561807333,0.9057971014492754,29.000836458811147,9.250805585392053,87.05845454189046,17.007096091269062,36810.0
01049,"Fort Payne, AL",5,micropolitan,nonmetro,1,Alabama,AL,DeKalb County,0.756,0.7996,0.8139,0.5425,0.5017,2,33.6,14.6,17.3,20.9,1.5,15.4,71680,Q4_highest,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",71608,rucc_nonmetro_adjacent,nonmetro,1,71946,49.99444027465043,17.383871236760903,1.282906624412754,16.6611069413171,20.359848484848484,15.022998691817527,78.94519643446682,13.880406074612084,51149.0
01051,"Montgomery, AL",3,medium_metro,small_medium_metro,1,Alabama,AL,Elmore County,0.4397,0.3185,0.3869,0.6373,0.5667,0,18.7,8.2,15.8,27.6,20.8,3.1,87694,Q2,2,"Metro - Counties in metro areas of 250,000 to 1 million population",87977,rucc_metro_250k_1m,metro,0,88669,48.70473333408519,16.0642389110061,21.007341912054947,3.2897630513482725,10.285062171607905,7.734648311105275,89.58912074423412,24.39434071968473,75553.0
01053,,6,noncore,nonmetro,1,Alabama,AL,Escambia County,0.8473,0.9462,0.7353,0.7814,0.4986,2,38.3,12.3,18.6,39.8,30.2,2.6,36755,Q4_highest,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",36757,rucc_nonmetro_adjacent,nonmetro,1,36695,49.99591224962529,18.841804060498703,30.51641913067175,2.2755143752554843,21.20404277134905,11.323344723852916,82.53264833915055,12.490685909251344,44447.0
01055,"Gadsden, AL",4,small_metro,small_medium_metro,1,Alabama,AL,Etowah County,0.672,0.7961,0.7544,0.574,0.2911,0,27.2,11.7,19.4,22.9,15.0,4.4,103348,Q3,3,"Metro - Counties in metro areas of fewer than 250,000 population",103436,rucc_metro_lt250k,metro,0,103208,48.44682582745524,19.493643903573364,15.005619719401595,4.974420587551353,17.099703229103202,12.230328551143318,85.77786964310322,17.476918836984982,53070.0
01057,,6,noncore,nonmetro,1,Alabama,AL,Fayette County,0.7458,0.8514,0.4788,0.4556,0.6914,3,34.5,10.1,21.2,16.1,12.7,0.4,16297,Q3,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",16321,rucc_nonmetro_adjacent,nonmetro,1,16173,48.61806714895195,21.610090892227788,12.261176034130958,1.1376986335250108,18.66155104094597,7.89358372456964,85.23172905525847,15.597147950089129,50733.0
01059,"Russellville, AL",5,micropolitan,nonmetro,1,Alabama,AL,Franklin County,0.7576,0.6675,0.9491,0.6045,0.4846,2,33.3,12.5,17.1,24.8,4.2,18.4,32011,Q4_highest,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",32113,rucc_nonmetro_adjacent,nonmetro,1,31978,49.33391706798424,17.17743448620927,4.024641941334668,19.829257614610043,17.37475013484786,11.75041030172958,79.48572508980904,14.889393079977312,51493.0
01061,"Dothan, AL",4,small_metro,small_medium_metro,1,Alabama,AL,Geneva County,0.5822,0.6729,0.6427,0.5161,0.3509,1,32.0,12.1,20.3,19.2,8.9,4.4,26647,Q3,3,"Metro - Counties in metro areas of fewer than 250,000 population",26659,rucc_metro_lt250k,metro,0,26726,49.04213125795106,20.41457756491806,8.426251590211779,5.062485968719599,19.0532051767199,12.808852508716084,83.2094469924614,13.316463703938004,50951.0
01063,"Tuscaloosa, AL",3,medium_metro,small_medium_metro,1,Alabama,AL,Greene County,0.9157,0.9211,0.8425,0.9857,0.7254,5,50.0,13.9,23.7,82.9,81.8,0.3,7706,Q4_highest,2,"Metro - Counties in metro areas of 250,000 to 1 million population",7730,rucc_metro_250k_1m,metro,0,7589,48.08275135063908,23.95572539201476,81.47318487284227,0.7510870997496376,35.9121171770972,13.84820239680426,82.00606750094805,12.476298824421692,31495.0
